pubs_name,pubs_location,pubs_type_name,Foster,KF,KF_ULTRA,KF_ULTRA_MAX,KF_PREMIUM,KF_STRONG,KF_STORM,KF_BLUE,Heineken,Corona,Corona_Extra,Budweiser,Budweiser_Magnum,Budweiser_Premium,Carlsberg,Carlsberg_Elephant,Stella_Artois,Hoagearden,Asahi,Tuborg,Tuborg_Premium,Tuborg_Strong,Tuborg_Green,Miller,Miller_Ace,Miller_high_life,Miller_Ultra_Max,Peroni,Bira_White,Bira_Blonde,Bira_Lite,Bira_IPA,Bira_Pale_Ale,Bira_Strong,Sol_Cerveza,Leffe_Blonde,UB,White_Owl_Spark,White_Owl_Diablo,Kings_Goa,Affligem_Blonde,Edelweiss,Desperades,Dos_Equis,Schneider_Weisse,Whitlinger,Amstel,Geist_Witty_wit,Geist_Weiss_Guy,Geist_Uncle_Dunkel,Estrella_Damm_Barcelona,Tsing_Tao,Cass,KronenBourg,Knock Out,Singha,Hywards 5000,Parga
Shaken & Stirred,Race Course Road,Bar,,,175,,150,175,,,250,395,,175,200,,,,,,,175,,,,,,,,,225,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua - The Park Bangalore,"The Park, MG Road",Bar,,,,,,,,,450,,600,,,,,,,,,,,,,,,350,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,Yelahanka,Pub,140,,160,,120,120,,,,,,160,,,,,,,,130,,,,,,,,,190,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Lounge Bar - Svenska Design Hotel,"Svenska Design Hotel, Electronic City",Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swathi Greenland,Vijay Nagar,Bar,110,,135,,110,115,,,,,,125,230,,130,,,,,120,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,
Chiller's Nation - Iris Inn,Iris Inn,Bar,,,,,130,250,,,300,375,,160,160,,160,300,,,,130,,140,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,
The Chameleon,Electronic City,Bar,240,,270,,200,220,230,,290,440,,,270,260,,270,,440,460,,220,230,,,,,,280,200,200,,220,,260,,,,,,,,,,,,,,,,,,,,,,,,
Blue Bar - The Taj West End,"The Taj West End, Race Course Road",Lounge,300,,350,350,300,,,,350,550,,300,,,350,,550,550,,,,,,,,300,,450,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,
Shimmer - Taj Yeshwantpur,Taj Yeshwantpur,Lounge,275,275,275,,,,,,450,600,,,,,,,,,,,,,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twins,Kammanahalli,Bar,,,,,230,,,,280,355,,,,,230,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
