pubs_name,pubs_location,pubs_type_name,Foster,KF,KF_ULTRA,KF_ULTRA_MAX,KF_PREMIUM,KF_STRONG,KF_STORM,KF_BLUE,Heineken,Corona,Corona_Extra,Budweiser,Budweiser_Magnum,Budweiser_Premium,Carlsberg,Carlsberg_Elephant,Stella_Artois,Hoagearden,Asahi,Tuborg,Tuborg_Premium,Tuborg_Strong,Tuborg_Green,Miller,Miller_Ace,Miller_high_life,Miller_Ultra_Max,Peroni,Bira_White,Bira_Blonde,Bira_Lite,Bira_IPA,Bira_Pale_Ale,Bira_Strong,Sol_Cerveza,Leffe_Blonde,UB,White_Owl_Spark,White_Owl_Diablo,Kings_Goa,Affligem_Blonde,Edelweiss,Desperades,Dos_Equis,Schneider_Weisse,Whitlinger,Amstel,Geist_Witty_wit,Geist_Weiss_Guy,Geist_Uncle_Dunkel,Estrella_Damm_Barcelona,Tsing_Tao,Cass,KronenBourg,Knock Out,Singha,Hywards 5000,Parga
Brooks and Bonds Brewery,Koramangala 5th Block,Microbrewery,,,200,200,180,,,,250,450,,200,,,,,550,570,,,,,,,,,,,250,210,250,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoot,Sarjapur Road,Pub,,,,,150,,,,,,,,,,,,,,,150,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toit*****,Indiranagar,Microbrewery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communiti*,Residency Road,Microbrewery,,,,,,,,,,470,,260,460,,360,,470,470,,290,,,,200,,,,,325,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koramangala Social*,Koramangala 7th Block,Lounge,,120,175,175,,,,,260,,475,175,260,,,,475,475,,,,,,,,,,,275,275,275,275,,,475,475,,,,,475,475,475,475,,,,,,,,,,,,,,
Biergarten***,Whitefield,Pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Reservoire*,Koramangala 5th Block,Pub,150,,160,160,140,150,,,200,425,,190,200,,180,,425,425,425,150,,160,,,,,,,250,240,240,240,,,,,,,,190,425,425,,,,280,,,,,,,,,,,,
Gilly's Restobar*,Koramangala 5th Block,Pub,,,180,190,110,170,250,,200,,,395,,,180,,395,395,,,,,,,,,,,200,200,200,,,,350,,,,,,395,395,,,,,,,,,,,,,,,,
The 13th Floor*,Barton Centre,Lounge,300,,,,,,,,280,550,,350,375,,,,550,550,,,,,,,,,,,275,275,275,275,,,,550,,275,275,,,,,,,,,,,,,,,,,,,
Vapour Pub & Brewery***,Indiranagar,Pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hangover*,HSR,Bar,,,225,225,175,,,,275,575,,225,205,,,,575,575,575,,,,,,,,,,275,275,,,,,,575,,,,,,,,,,,,,,,,,,,,,,
Boho,Koramangala 5th Block,Bar,,120,170,160,,150,,,250,475,,180,190,,,,475,475,,,,,,,,,,,250,250,250,250,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammered*,Cunningham Road,Pub,175,,205,205,150,,,,275,450,,205,,,,,450,450,,,,,,,,,,,215,205,,,,,450,,,,,,,450,450,,,,,,,,,,,,,,,
The Black Rabbit*,"Escape Hotel & Spa, Indiranagar",Bar,,,,,,,,,,545,,,275,245,,,545,545,,,,,,,,245,,,,,,,,,,545,,,,,,,,,,,,,,,,,,,,,,
Indigo XP*,Koramangala 5th Block,Pub,160,,,,,,,,,,450,,230,200,,,450,450,,,,,,,,,,,220,240,220,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Druid Garden***,Sahakara Nagar,Microbrewery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Brew and Barbeque,"Soul Space Arena Mall, Marathahalli",Pub,,,,,,,,,200,425,,,,,,,425,400,,,,,,,,,,,210,210,210,210,,,425,425,,,,,,,,,,,,,,,,,,,,,,
TBC Sky Lounge,HSR,Bar,160,,170,,160,180,,,270,450,,170,200,,195,,490,490,,180,,,,,,,,295,275,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stories,Rajajinagar,Bar,,,,199,149,159,,,,449,,,199,179,,,,449,,,179,199,,,,,,,209,219,209,229,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakuna Matata,JP Nagar,Bar,,,205,,179,195,,,275,,,205,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Boozy Griffin*,Marathahalli,Pub,,,200,220,180,,,,350,525,,200,220,,190,,525,525,525,,,180,190,,,,,,325,300,,350,,,475,525,,,,180,,,,,,,,,,,,,,,,,,
1131 Bar + Kitchen*,Indiranagar,Bar,,,220,240,160,180,,,240,490,,,240,210,,,,490,,,160,180,,,,,,,275,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawl Street*,Koramangala 5th Block,Bar,,,140,,120,,,,200,420,,,180,160,,,,420,,,,,,,,,,,170,160,180,,190,,,,,,,,,,,,,,,,,,,,,,,,,
Skyye*,UB City,Lounge,,,245,,195,,,195,275,365,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Decker*,Brigade Road,Bar,229,200,219,,,,,,249,499,,249,,,,,499,499,,,,,,249,,,,,279,279,279,279,,,,,,,,,,,,,,,,,,,,,,,,,,
OPUS Club*,"OPUS, Sarjapur Road",Pub,259,,269,,249,,,249,439,549,,269,,,,,549,549,,249,,,,,,,269,,489,489,,,,,,,,,,429,,,,,,,,,,,,,,,,,,
Fenny's Lounge And Kitchen*,Koramangala 7th Block,Bar,190,,,,,,,,,470,,140,475,270,360,,470,470,,300,,,,190,200,,,,325,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewsky*****,JP Nagar,Microbrewery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Rhino****,Whitefield,Microbrewery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Float,"D and N Enterprises, Marathahalli",Bar,199,,209,,199,,,,279,419,,209,,,199,,429,469,,199,,,,,,279,,409,289,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Permit Room,Brigade Road,Bar,,,,,,,,,,550,,225,275,,250,,550,550,,200,,,,,,,,,275,250,275,,,,525,575,,,,,550,550,,,,350,,,,,,,,,,,,
Sidewalk Bar & Kitchen*,Marathahalli,Bar,175,175,190,,,,,,250,500,,230,275,,175,,,,,,,,,,,,,450,275,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foxtrot - House of Subculture*,Koramangala 3rd Block,Lounge,,,250,,200,,,,300,525,,,,,,,,525,,,,,,,,,,,275,225,,,,,,,,255,275,,,,,,,,,,,,,,,,,,,
Shiro,UB City,Lounge,,,400,425,275,,,,450,610,,,,,,,610,610,610,,,,,,,,,,425,425,,,,,,,,,,,,,,,,,,,,,,610,,,,,,
55 Wall Street*,JP Nagar,Bar,,,195,,150,,,,,425,,195,225,,155,,425,450,,155,,,,165,165,,,225,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sotally Tober*,Koramangala 4th Block,Bar,,,190,190,165,,,,225,495,,,,,,,,495,495,,,,,,,,,,295,295,295,295,,,495,,,295,,,495,280,495,,,,,,,,,,,,,,,
Foxtrot Gastropub*,Marathahalli,Pub,,,250,,175,,,,,500,,,,,,,500,500,,,,,,,,,,,275,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE RIG*,Sarjapur Road,Microbrewery,,,,,,,,,,425,,,,,,,425,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shift*,HSR,Lounge,,,229,,172,,,,,500,,229,,,,,,,,,,,,,,,,,241,219,241,316,,,,,,,,,,,,,,,,,,,500,,,,,,,
Skydeck by Sherlock's*,MG Road,Pub,,,289,,239,,,,359,599,,299,,,239,,539,599,,,,,,,,,,,349,289,,,,,,599,,,,239,,,,,,,,,,,,,,,,,,
SodaBottleOpenerWala,Lavelle Road,Irani Cafe,195,,,,,,,,,750,,275,300,,,,750,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Dots & A Dash,Indiranagar,Bar,,,,,175,,,,275,490,,225,240,,,,,545,,,,,,,,,,,295,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fava,UB City,Bar,,,275,275,200,,,,325,,,,,,,,,,575,,,,,,,,,,,,,,,,500,,,,,,500,500,,,,,,,,,,,,,,,,
No Limmits Lounge and Club*,Brigade Road,Club,,270,,,,,,,350,500,,300,,,,,,,,300,,,,,,,,,350,350,350,350,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural Blues,Sarjapur Road,Bar,,160,190,,,,,,,,,,,190,,,,,,160,,,,,,,,,220,220,200,230,,,,,,200,220,,,,,,,,,,,,,,,,,,,
Wall Street 657*,Indiranagar,Bar,,,225,250,150,,,,250,500,,200,250,,200,,500,500,500,150,,,,,250,,,300,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tippler*,Indiranagar,Pub,,,200,,150,,,,245,495,,185,225,,,,495,495,,,,,,,,,,,325,295,295,,,345,,495,,,,,,,,,,,,,,,,,,,,,,
Dive*,Marathahalli,Pub,,,179,,169,,,,279,399,,179,,,,,,,,179,,,,,,,,,279,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3B's - Buddies, Bar & Barbecues",Marathahalli,Bar,160,160,185,,,,,,185,315,,185,,,185,,421,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTDT? Been There Done That,Indiranagar,Bar,,,200,,175,,,,225,390,,200,,,,,,390,,,,,,,,,,,220,200,220,250,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter One Bar | Maiin*,New BEL Road,Bar,,,210,,200,,,,215,410,,,225,200,225,,380,410,,160,,,,,,,,,227,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russh Gastropub*,Church Street,Pub,,,249,249,189,,,,299,449,,249,,,209,,449,449,,209,,,,,,,,,299,299,299,299,,,,449,,,,,,,,,,,,,,,,,,,,,,
Myu Bar at Gilly's Redefined*,"Gilly's Redefined, Koramangala 4th Block",Bar,,,200,210,120,180,275,,220,430,,,,,200,,430,430,,,,,,,,,,,220,220,220,,,,385,,,,,,430,430,,,,,,,,,,,,,,,,
Easy Tiger*,Church Street,Bar,,,195,215,175,,,,250,475,,190,,,195,,475,475,,,,,,,,,,,225,195,,,,,,,,195,225,199,,,,,,,,,,,,,,,,,,
Brewklyn Microbrewery*****,Kalyan Nagar,Microbrewery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once Upon a Rooftop,Jayanagar,Bar,150,150,170,,,,,,200,375,,175,175,,,,,400,,,,,,,,,,,220,220,220,,,250,,,,,,,,,,,,275,,,,,,,,,,,,
The Underpass Pub & Grub*,JP Nagar,Pub,,,200,,180,,,,200,425,,180,200,,,,425,425,,,,,,,,,,,200,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,
1522 - The Pub*,New BEL Road,Pub,,145,180,320,,240,240,,210,420,,190,200,,180,320,,,,160,,160,,,,180,,280,230,220,230,,,,420,,,,,,,,,,,,,,,,,,,,,,,
What's In A Name,Koramangala 5th Block,Pub,,,225,,,,,,,425,,225,225,,,,,425,,125,,,,,,,,,225,225,225,225,,,,,,250,250,,,,,,,,,,,,,,,,,,,
Safe House*,HSR,Bar,,,190,190,140,160,,,220,490,,200,240,,190,,490,490,490,170,,180,,,,,,,250,250,250,250,,,450,,,250,250,190,490,490,,,,280,260,,,,,,,,,,,
The Irish House,"VR Bengaluru, Whitefield",Pub,,,275,275,195,,,,325,,,275,325,,245,,,,,195,,,,,,275,,,295,275,295,325,,,,,,,,,,,,,,,,,,,,,,,,,,
Barebones - The Balcony Bar*,Indiranagar,Bar,,,219,229,169,,,,219,499,,199,249,,189,,499,499,,,,,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo's Gastrobar*,Whitefield,Bar,,,,,,,,,280,595,,250,,,250,,595,595,595,180,,,,,,,,,395,395,395,395,,,595,595,,,,200,595,595,595,,,,,,,,,,,,,,,
Bang - The Ritz-Carlton*,The Ritz-Carlton,Lounge,350,350,400,425,,,,,450,695,,375,,,450,,695,695,,375,,,,375,,,,500,,,,,,,,695,,,,,,,,,,,,,,,,,,,,,,
alt*,"Waverly, Whitefield",Bar,,,245,,225,,,,295,525,,,,,,,525,575,595,,,,,,,,,,,,,,,,,575,,,,,,,,,,,,,,,,,,,,,,
Hoppipola*,Church Street,Lounge,155,155,185,195,,,,,230,475,,195,230,,,,475,475,,,,,,,,,,,,,,,,,450,,,,,,475,,,,,,,,,,,,,,,,,
Alchemy - The Chancery Pavilion****,"The Chancery Pavilion, Residency Road",Microbrewery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barleyz,Koramangala 6th Block,Microbrewery,,,395,,,,,,,,725,375,,,,,,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Beer Cafe*,Koramangala 4th Block,Pub,195,,,,195,185,,,,,,,,,,,,,,195,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottle Breacher,JP Nagar,Pub,,,180,,145,,,,230,445,,,180,180,230,,445,445,,,,,145,,,,,,195,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loveshack,Domlur,Café,240,,,,,,,,,475,,,290,240,,,475,475,,,,,,,,,,,,,,,,,,475,,,,,,,,,,,,,,,,,,,,,,
Laughing Llama Gastropub*,Brigade Road,Bar,,,210,,160,,,,,450,,210,,,,,,,,,,,,,,,,,220,190,,,,240,,,,210,220,,,,,,,,,,,,,,,,,,,
52 Wall Street*,Koramangala 6th Block,Bar,,,240,240,160,,,,265,535,,,,,,,535,535,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-hive*,Koramangala 1st Block,Pub,,,199,209,169,179,,,,,,199,209,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,
Output Bengaluru*,"Soul Space Arena Mall, Marathahalli",Pub,,,250,,225,,,,250,510,,250,,,,,510,510,,,,,,,,,,475,250,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chin Lung Resto-Bar,New BEL Road,Bar,,,250,250,190,210,,,250,375,,220,250,,250,250,375,375,,210,,210,,,,,,,170,170,170,,180,220,,,,,,,,,,,,,,,,,,,,,,,,
Shizusan Shophouse & Bar,Whitefield,Bar,,,200,,175,,,,225,550,,225,,,,,,,550,,,,,,,,,,325,325,,,,,,,,,,,,,,,,,,,,,,550,550,,,,,
Capri*,St. Marks Road,Bar,,,200,,160,,,,240,370,,200,,,200,,375,375,,200,,,,,,,,,210,190,,,,,,375,,,,,,,,,,,,,,,,,,,,,,
Drunkling - Sizzlers and Pub,Koramangala 5th Block,Bar,,,130,130,120,,,,180,400,,140,140,,,,,400,,,,,,,,,,,170,170,,,,,,400,,,,,,,,,,,,,,,,,,,,,,
Lady Baga*,Lavelle Road,Lounge,,,210,,,,,,340,495,,,,,,,,,,,,,,,,,,,250,250,250,,,,,,,,,120,,,,,860,,,,,,,,,,,,,
Harry's Bar + Cafe,Koramangala 7th Block,Bar,,,200,210,170,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,500,500,500,500,,,,,,,,,,,,,,
BANGALORE BOX,BTM,Bar,,,175,,150,,,,215,380,,,200,175,,,,,,,,,150,,,,,,235,235,235,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baithak,HSR,Bar,,,145,145,115,135,,,205,,,175,185,,,,,,,,,,,,,,,,245,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salut*,Jayanagar,Pub,,,180,180,150,,,,225,500,,200,225,,,,,500,,,,,,,,,,,275,275,275,275,,,500,500,,,,,,,550,,,,,185,185,185,,,,,,,,
3G's - Gulp & Groove,Malleshwaram,Bar,150,,190,,140,150,,,225,450,,180,,,190,,,,,150,,,,,,,,,225,225,225,225,,,,,,,,,,,,,,,,,,,,,,,,,,
Gravity Bar & Grill,Nagawara,Bar,140,150,185,185,,180,,,220,550,,185,200,,180,,550,550,,180,,,,,,,,,240,240,240,240,,,,,,250,250,,,,,,,,,240,240,240,,,,,,,,
Street Mama,"Garuda Mall, Magrath Road",Pub,140,,165,165,110,,,,250,,460,165,250,,170,,470,,510,150,,,,,,,,,250,200,,,,,480,510,,,,,,510,,,730,300,,175,175,175,470,460,,,,,,
The Sugar Factory - Le Meridien,"Le Meridien, Sankey Road",Club,,,,450,400,,,,500,650,,400,450,,,,,,,,,,,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonah's,Indiranagar,Bar,145,,195,195,145,,,,225,,,,175,175,175,,,,,,,,,,155,155,,325,295,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Barn - Bar & Kitchen,"Garuda Mall, Magrath Road",Pub,,290,360,,,360,,,380,550,,360,380,,360,,,550,,290,,,,,,,,,250,250,250,250,,360,,,,,,,,,,,,,,,,,,,,,,,,
Tilt Gastro Lounge,Koramangala 5th Block,Lounge,165,180,,,,,,,200,390,,180,,,,,,390,,,,,,180,,,,,245,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chime - Sheraton Grand Bengaluru Whitefield Hotel &...,"Sheraton Grand Bengaluru, Whitefield",Bar,,,275,,250,,,,350,,650,275,300,,,,650,650,,,,,,,,,,,300,300,300,300,,,650,,,,,,650,650,650,650,,,,,,,,650,,,,650,,
Gustoes Beer House****,Banashankari,Pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sathya's,Koramangala 3rd Block,Bar,,,,260,200,220,,,280,400,,250,280,,,,,400,,210,,220,,,,,,,200,200,200,200,,,,,,,,160,,,,,,,,,,,,,,,,,,
The Studio Bar,"Orion Mall, Malleshwaram",Lounge,,,200,200,160,160,275,,290,390,,,,,200,,390,390,,,,,,,,,,,220,220,220,,,,390,,,,,,390,390,,,,,,,,,,,,,,,,
Churchill's,JP Nagar,Pub,135,135,165,,,,,,200,375,,175,,,175,,,450,,135,,,,,,150,,,210,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Humming Tree,Indiranagar,Lounge,,,,,,,,,,600,,250,300,,,,600,,600,,,,,,,,,,300,300,300,,,350,,600,,,,200,,,,,,,,,,,,,,,,,,
Blue Frog,Church Street,Lounge,,175,225,,,,,,250,475,,200,,,,,,,,,,,,,,,,,227,227,,227,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanderers***,Kalyan Nagar,Microbrewery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i-Bar - The Park Bangalore,"The Park, MG Road",Lounge,,,,,,,,,,,600,,,,,,,,,,,,,,,350,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bold,Marathahalli,Bar,,,250,,200,,,,250,495,,250,,,,,,495,,,,,,,,,,,260,260,,,,,495,,,,,,495,495,495,,,,,300,300,300,,,,,,,,
Hype - Shangri-La Hotel,"Shangri-La Hotel, Vasanth Nagar",Lounge,400,400,425,,,,,,425,550,,400,,,,,550,,550,,,,,400,,,,,,,,,,,,,,,,,,,,,550,,,,,,,550,,,,,,550
The Local,Kalyan Nagar,Pub,,,210,,170,,,,240,390,,200,,,190,,,440,,190,,,,,,220,,,210,190,,,,,,,,,,200,,,,,,,,,,,,,,,,,,
One For The Road,"Elements Mall, Nagawara",Bar,,,180,190,150,170,250,,250,400,,,240,220,180,,400,400,,,,,,,,,,,220,220,220,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-Bar,"Zone By The Park, Electronic City",Bar,,,250,,175,,,,,475,,175,250,,,,,475,,,,,,,,,,,250,250,250,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doff Pub and Lounge,Indiranagar,Lounge,,,200,,180,,,,250,590,,400,400,,250,,590,590,590,200,,,,,,,,,400,400,400,400,,,590,590,,,,300,590,590,,,,400,,,,,,,,,,,,
Smaaash,"1 MG Road Mall, MG Road",Pub,,,270,300,250,270,,,300,550,,,,,270,350,550,550,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crumb Together,JP Nagar,Bar,,,180,,160,,,,240,450,,190,,,250,,450,450,,,,,160,,,,,,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watson's,JP Nagar,Pub,,,225,,175,,,,270,450,,235,,,,,,450,,,,,,,,,,,250,250,,,,,485,,,,,,485,485,,,,,,,,,,,,,,,,
HQ*,Whitefield,Bar,,95,200,220,150,,,,,440,,190,240,,,,440,460,,150,,,,,,,,440,150,150,150,,,,460,460,,,,,,,,,,,,230,230,230,,,,,,,,
Public- The Rooftop Bar And Kitchen,Bannerghatta Road,Bar,,,240,,200,210,,,165,,,230,240,,230,,,,,200,,210,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa Piccosa,JP Nagar,Bar,140,,150,160,140,,,,225,,400,150,,,200,,400,,,150,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chugg,Church Street,Pub,,,190,190,149,,,,239,439,,199,,,,,,439,,239,,,,,,,,,249,249,,,,,,,,,,149,,,,,,,,,,,,,,,,,,
XU,"The Leela Palace, Old Airport Road",Club,,,,,,,,,,550,,250,,,,,,550,550,,,,,,,,,,250,250,,,,,480,,,,,,,,,,,,,,,,,,,,,,,
Straight Up,Hennur,Pub,,,200,,180,,,,230,450,,200,,,200,,,400,,190,,,,,,,,,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Whitefield Arms Pub & Microbrewery,"Waverly, Whitefield",Pub,,,195,200,165,,,,250,550,,,,,,,550,575,600,,,,,,,,,,,,,,,,,575,,,,,,,,,,,,,,,,,,,,,,
Boozers Bar & Kitchen,Indiranagar,Bar,160,,180,210,150,180,,,220,550,,180,200,,180,,550,550,,180,,,,,,,,280,240,240,240,240,,,,,,,,,550,550,,,,,,,,,,,,550,,,,
Cosmos Resto Bar,Rajarajeshwari Nagar,Bar,200,,240,,200,220,,,290,,400,240,290,,240,,,,,,,200,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KittyKo,"The Lalit Ashok Bangalore, Seshadripuram",Bar,,300,,,,,,,400,,600,400,,,,,,,,,,,,,,,,,300,300,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,
The Local - Terrace Drinkery,Koramangala 6th Block,Pub,260,260,320,,,295,,,360,400,,290,310,,320,310,,400,400,280,,310,,,,,,,290,290,290,,,,,,,,,,,,,,,,,,,,,,,,,,295,
Amoeba Sports Bar,"Ascendas Park Square, Whitefield",Lounge,,,220,,200,220,,,250,510,510,220,,,220,,,,,220,,,,,,,,,330,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGI Fridays,"Royal Meenakshi Mall, Bannerghatta Road",Lounge,495,,495,495,470,480,,,495,740,,495,,,530,570,690,690,,470,,470,,,,,,,425,395,455,455,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimi's Beer Cafe,Indiranagar,Bar,200,200,210,,,360,,,250,450,,210,360,,210,,450,470,,200,,,,210,,,,,270,270,270,270,,360,,,,,,,,,,,,,,,,,,,,,,,,
Agent Jack's Bar,Kalyan Nagar,Bar,,81,121,128,,,,,128,347,,,,,100,,,,,81,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver's Pub & Diner,Whitefield,Pub,,,,,99,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,180,180,,,,,,,,
Layout 78,Kumaraswamy Layout,Pub,,,145,,130,130,,,160,350,,160,,,140,,370,371,,,,120,130,,,,,,150,150,,,,,372,,,,,120,,,373,,,,,,,,,,,,,,,
hatch,Malleshwaram,Bar,,250,305,,210,265,,,225,375,,275,295,,265,285,,,,250,,,,,,275,,,205,205,,,,295,,,,,,,,,,,,,,,,,,,,,,,,
Slug,Nagawara,Pub,195,,,,,,,,,525,,,295,275,,,500,575,,,,,,,,,,,,,,,,,,575,,,,,,,,,,,,,,,,,,,195,,,
Denny's Pub,Yelahanka,Pub,150,,,,,,,,210,390,,150,,,150,,390,390,,150,,,,150,,,,340,260,230,,,,,,390,,,,250,,,,,,,,,,,,,,,,,,
Darbar,"Comfort Inn Insys, Yeshwantpur",Bar,100,140,,,,,,,200,380,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jcubez,Banashankari,Lounge,,,320,,280,,,,,,,,,320,,,,,,,,,,,,,,,320,320,320,320,,,,,,,,,,,,,,,,,,,,,,,,,,
Over The Top Terrace Lounge,Koramangala 5th Block,Lounge,250,,170,,250,260,,,270,450,,260,300,,195,,490,490,,180,,,,170,,,,,,,,,,,,490,,,,,,,,,,,,,,,,,,,,,,
Tapout Tavern,Sarjapur Road,Pub,,,180,,160,,,,230,,450,240,,,,,,460,,,,,,,,,,,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fill N Chill Resto Bar & Pub,Koramangala 4th Block,Bar,,,295,,210,220,240,,295,,,,305,280,285,260,,,,,,220,210,,,,,,170,290,175,190,,235,,,,,,,,,,,,,,,,,,,,,,,,
